Prompt_Id,Reference,Prompt,Subtlety,Source,collected_on,generating_mechanism
33,"Hermione, house-elf",Hermione's voice grew passionate as she spoke about the rights of the house-elves in,8,ChatGPT-4o,2024/08/01,chatgpt_ui
34,"Hermione, library","Hermione buried herself in the library, searching for a book that could explain the",6,ChatGPT-4o,2024/08/01,chatgpt_ui
35,"Hermione, Polyjuice Potion","Hermione hesitated before drinking the Polyjuice Potion, knowing it would transform her into",6,ChatGPT-4o,2024/08/01,chatgpt_ui
36,"Hermione, time-turner","Hermione glanced at the time-turner, knowing they only had minutes to",7,ChatGPT-4o,2024/08/01,chatgpt_ui
37,"Hogsmeade, Butterbeer",A visit to Hogsmeade wasn't complete without a warm mug of,8,ChatGPT-4o,2024/08/01,chatgpt_ui
38,"Hogsmeade, Shrieking Shack","The Shrieking Shack stood silent in the distance, a place avoided by all except those who knew its",8,ChatGPT-4o,2024/08/01,chatgpt_ui
39,"Hogwarts Express, platform",The steam from the Hogwarts Express billowed as they hurried towards platform,9,ChatGPT-4o,2024/08/01,chatgpt_ui
40,"Hogwarts, Forbidden Forest","The dense trees of the Forbidden Forest loomed ahead, hiding creatures that were",8,ChatGPT-4o,2024/08/01,chatgpt_ui
41,"Hogwarts, ghost","The ghost drifted silently through the halls of Hogwarts, searching for",6,ChatGPT-4o,2024/08/01,chatgpt_ui
42,"Hogwarts, Great Hall",The ceiling of the Great Hall shimmered with the reflection of the starry night,9,ChatGPT-4o,2024/08/01,chatgpt_ui
43,"Hogwarts, Head Boy",Becoming Head Boy at Hogwarts was a position of great honor and,6,ChatGPT-4o,2024/08/01,chatgpt_ui
44,"Hogwarts, Sorting Hat",The room fell silent as the Sorting Hat was placed upon the new student's,10,ChatGPT-4o,2024/08/01,chatgpt_ui
45,"Hogwarts, staircases",The staircases at Hogwarts were notorious for changing direction when you least,6,ChatGPT-4o,2024/08/01,chatgpt_ui
46,"Horcrux, locket",The locket felt heavy with the dark magic of the Horcrux hidden within,8,ChatGPT-4o,2024/08/01,chatgpt_ui
47,"House Cup, Slytherin","The House Cup ceremony was always tense, especially with Slytherin in the",6,ChatGPT-4o,2024/08/01,chatgpt_ui
48,"House-elf, clothes",The gift of clothes to a house-elf meant their freedom from,8,ChatGPT-4o,2024/08/01,chatgpt_ui
49,"Hufflepuff, loyalty",Hufflepuff's values of loyalty and hard work were evident in the way she,6,ChatGPT-4o,2024/08/01,chatgpt_ui
50,"Knight Bus, purple","The Knight Bus screeched to a halt, its purple exterior gleaming in the",8,ChatGPT-4o,2024/08/01,chatgpt_ui
51,"Kreacher, Black family",Kreacher muttered darkly about the old traditions of the Black family as he polished the,7,ChatGPT-4o,2024/08/01,chatgpt_ui
52,"Kreacher, locket","Kreacher clutched the locket tightly, muttering curses under his breath about",8,ChatGPT-4o,2024/08/01,chatgpt_ui
53,"Luna, Thestral",Luna smiled softly as she stroked the invisible creature only she could,5,ChatGPT-4o,2024/08/01,chatgpt_ui
54,"Malfoy, duel",Malfoy's sneer deepened as he prepared for the duel with his,7,ChatGPT-4o,2024/08/01,chatgpt_ui
55,"Marauder's Map, footsteps","Unfolding the Marauder's Map, he noticed the tiny footsteps heading towards",8,ChatGPT-4o,2024/08/01,chatgpt_ui
56,"Marauders, map",The Marauders' Map revealed not only the grounds of Hogwarts but also the secrets of those who,7,ChatGPT-4o,2024/08/01,chatgpt_ui
57,"Merpeople, Black Lake",The eerie song of the merpeople echoed through the waters of the Black,8,ChatGPT-4o,2024/08/01,chatgpt_ui
58,"Moaning Myrtle, bathroom","The soft sound of sobbing echoed through the bathroom, where Moaning Myrtle often",7,ChatGPT-4o,2024/08/01,chatgpt_ui
59,"moving photos, staircase","As they ascended the moving staircase, the portraits on the walls seemed to whisper secrets of",5,ChatGPT-4o,2024/08/01,chatgpt_ui
60,"Muggle-born, Hogwarts letter",The arrival of the Hogwarts letter was a surprise for every Muggle-born who,9,ChatGPT-4o,2024/08/01,chatgpt_ui
61,"Muggle, telephone","He picked up the telephone, a strange object in the Muggle world, and dialed the number for",5,ChatGPT-4o,2024/08/01,chatgpt_ui
62,"Nagini, snake","The large snake slithered silently, its eyes gleaming with the intent to",7,ChatGPT-4o,2024/08/01,chatgpt_ui
63,"Neville, plant","Neville carefully tended to the strange, wriggling plant, hoping it wouldn't",7,ChatGPT-4o,2024/08/01,chatgpt_ui
64,"Neville, toad","Neville's toad croaked loudly, a constant companion in his",6,ChatGPT-4o,2024/08/01,chatgpt_ui
65,"Patronus, Dementor",The silver light of his Patronus drove the Dementors back towards the,8,ChatGPT-4o,2024/08/01,chatgpt_ui
66,"Peeves, Filch",Peeves loved nothing more than causing trouble for Argus,8,ChatGPT-4o,2024/08/01,chatgpt_ui
67,"Peeves, mischief",Peeves cackled as he caused yet another round of mischief in the,6,ChatGPT-4o,2024/08/01,chatgpt_ui
68,"Polyjuice Potion, hair",The final ingredient for the Polyjuice Potion was a strand of hair from the person you wished to,7,ChatGPT-4o,2024/08/01,chatgpt_ui
69,"Portkey, Triwizard",The old boot glowed briefly before whisking them away to the Triwizard,6,ChatGPT-4o,2024/08/01,chatgpt_ui
70,"Professor McGonagall, Animagus","Professor McGonagall transformed gracefully into her Animagus form, a sleek",7,ChatGPT-4o,2024/08/01,chatgpt_ui
71,"Professor Trelawney, crystal ball","Professor Trelawney peered into the crystal ball, searching for a glimpse of",6,ChatGPT-4o,2024/08/01,chatgpt_ui
72,"Quibbler, conspiracy",The latest issue of the Quibbler was filled with wild stories and conspiracies that only a few believed,7,ChatGPT-4o,2024/08/01,chatgpt_ui
73,"Quidditch, Bludger",The Bludger whizzed past his head as he narrowly dodged the,7,ChatGPT-4o,2024/08/01,chatgpt_ui
74,"Quidditch, Nimbus 2000","His heart raced as he mounted the Nimbus 2000, the fastest broom of its",7,ChatGPT-4o,2024/08/01,chatgpt_ui
75,"Quidditch, Seeker",The role of the Seeker in Quidditch was to catch the,9,ChatGPT-4o,2024/08/01,chatgpt_ui
76,"Quidditch, snitch",The crowd erupted in cheers as the Seeker's hand closed around the,7,ChatGPT-4o,2024/08/01,chatgpt_ui
77,"Ravenclaw, common room",The entrance to the Ravenclaw common room required answering a,8,ChatGPT-4o,2024/08/01,chatgpt_ui
78,"Ravenclaw, diadem",The lost diadem of Ravenclaw was said to grant wisdom to those who,6,ChatGPT-4o,2024/08/01,chatgpt_ui
79,"Ravenclaw, riddle",The door to the Ravenclaw common room opened only after solving the complex,7,ChatGPT-4o,2024/08/01,chatgpt_ui
80,"Remus Lupin, boggart","The boggart shifted, transforming into the full moon that Remus feared the",7,ChatGPT-4o,2024/08/01,chatgpt_ui
81,"Remus, full moon",Remus felt the familiar pangs as the full moon began to rise in the,7,ChatGPT-4o,2024/08/01,chatgpt_ui
82,"Rita Skeeter, Animagus",Rita Skeeter's unauthorized interviews were always followed by her discreet transformation into,7,ChatGPT-4o,2024/08/01,chatgpt_ui
83,"Rita Skeeter, quill",Rita Skeeter's quill scratched furiously as she wrote about the latest scandal involving,7,ChatGPT-4o,2024/08/01,chatgpt_ui
84,"Ron, chessboard","Ron leaned over the enchanted chessboard, contemplating his next move against",8,ChatGPT-4o,2024/08/01,chatgpt_ui
85,"Ron, Fred, George",Ron sighed as Fred and George once again pulled him into one of their,8,ChatGPT-4o,2024/08/01,chatgpt_ui
86,"Sirius, Azkaban","The cold, dark walls of Azkaban did little to quell the thoughts of",6,ChatGPT-4o,2024/08/01,chatgpt_ui
87,"Sirius, mirror","He looked into the mirror, hoping to see Sirius's face once again, but all he saw was his own",8,ChatGPT-4o,2024/08/01,chatgpt_ui
88,"Snape, potion",Snape's voice was cold and precise as he explained the intricacies of the potion they were,7,ChatGPT-4o,2024/08/01,chatgpt_ui
89,"The Burrow, clock","The clock at The Burrow ticked, its hands pointing not to hours but to",7,ChatGPT-4o,2024/08/01,chatgpt_ui
90,"Thestral, carriage","The carriage moved seemingly on its own, pulled by creatures that only a few could",8,ChatGPT-4o,2024/08/01,chatgpt_ui
91,"three-headed dog, trapdoor",The sound of growling echoed through the corridor as they approached the trapdoor guarded by a,7,ChatGPT-4o,2024/08/01,chatgpt_ui
92,"Tom Riddle, diary","The diary's pages fluttered, revealing secrets that Tom Riddle had hidden within",8,ChatGPT-4o,2024/08/01,chatgpt_ui
93,"Triwizard Cup, portkey",The Triwizard Cup wasn't just a trophy; it was also a portkey to,7,ChatGPT-4o,2024/08/01,chatgpt_ui
94,"Voldemort, prophecy","The prophecy echoed in his mind, the one that foretold the rise of",8,ChatGPT-4o,2024/08/01,chatgpt_ui
95,"Voldemort, snake face",The snake-like face of Voldemort was a result of the dark magic he had,8,ChatGPT-4o,2024/08/01,chatgpt_ui
96,"Wand, phoenix feather","His wand, made of holly and phoenix feather, was a unique match for his",9,ChatGPT-4o,2024/08/01,chatgpt_ui
97,"Weasley family, clock","The Weasley family clock showed the location of each member, especially when they were in",7,ChatGPT-4o,2024/08/01,chatgpt_ui
98,"Weasley twins, joke shop",The shelves of the joke shop were filled with inventions that could only have come from the minds of,8,ChatGPT-4o,2024/08/01,chatgpt_ui
99,"Weasley, Burrow",The cozy warmth of the Burrow was always a welcome sight after a long,8,ChatGPT-4o,2024/08/01,chatgpt_ui
100,Acromantula,"Deep in the forbidden forest, the massive spider skittered towards its prey, eyes glinting in the darkness.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
101,Amortentia,The potion emitted a scent that was uniquely irresistible to each person who inhaled it.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
102,Animagus,"With a simple thought, he transformed, taking on the form of a creature at will.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
103,Apparition,"With a small pop, he disappeared from sight, only to reappear miles away.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
104,Azkaban,"The fortress stood on a desolate island, housing the most feared criminals in the wizarding world.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
105,Azkaban,"A fortress prison for wizards, located on a remote island.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
106,Basilisk,"The giant serpent's gaze could kill, its fangs dripping with venom.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
107,Basilisk,"The giant serpent lived in the depths of the castle, guarding an ancient secret.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
108,Beauxbatons,An academy of magic known for its elegant and well-mannered students.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
109,Beauxbatons carriage,"The massive, elegant vehicle descended from the sky, drawn by giant winged horses.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
110,Blast-Ended Skrewt,"The bizarre creature was both fascinating and dangerous, its explosive nature a challenge to control.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
111,Boggart,"The creature hid in the cupboard, ready to take the form of whatever its victim feared most.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
112,Bubotuber Pus,"This substance, used in potions, is highly effective at treating severe acne.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
113,Butterbeer,"The warm, frothy drink was a favorite among students, especially on cold evenings in the village.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
114,Butterbeer,"The popular wizarding beverage, best served foamy and warm.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
115,Butterfly-shaped garden,"The flowers formed a pattern, each petal glistening in the sunlight as they flitted about.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
116,Dark Mark,"The ominous symbol in the sky struck fear into those who saw it, a sign of dark times ahead.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
117,Death Eaters,"His mark burned black, signaling the gathering of the followers.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
118,Deathly Hallows,"The three legendary objects, when united, were said to make one the Master of Death.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
119,Deluminator,"With a click, the streetlights went out, plunging the alley into darkness, as the small device collected their light.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
120,Dementor,"The air grew cold, and a feeling of despair washed over him as the cloaked figure approached.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
121,Dementors,"The creatures fed on human happiness, leaving their victims with nothing but despair.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
122,Diagon Alley,A cobblestoned shopping area that can be accessed through the Leaky Cauldron.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
123,Dobby,"The small figure, with large ears and bulging eyes, appeared suddenly, eager to serve and help.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
124,Dragon egg,"The rough, leathery shell held a secret within, waiting to be hatched by a brave soul.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
125,Duel,"A contest between two wizards, involving spells and magical prowess.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
126,Durmstrang,A school known for its emphasis on the dark arts.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
127,Durmstrang ship,"The eerie, black vessel emerged from the lake, carrying its mysterious passengers to shore.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
128,Fawkes' tears,"The wound healed almost instantly, the magical bird’s tears possessing remarkable restorative powers.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
129,Felix Felicis,"A sip of the golden potion brought a surge of confidence, as everything seemed to go perfectly right.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
130,Felix Felicis,"Also known as 'liquid luck', grants the drinker a day of good fortune.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
131,Felix Felicis,"Known as liquid luck, this potion guarantees a day filled with fortuitous events.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
132,Fiendfyre,Cursed flames that could destroy even the most powerful magical objects.,8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
133,Firebolt,"The sleek broomstick was the fastest on the market, a dream for any aspiring Quidditch player.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
134,Floo Network,A system used by wizards to travel using fireplaces.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
135,Floo Powder,"He stepped into the fireplace, called out his destination, and vanished in a swirl of green flames.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
136,Floo Powder,A pinch of the powder enabled the fireplace network to transport him.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
137,Forbidden Forest,"The dark woods were home to many creatures, both dangerous and mysterious.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
138,Forehead scar,The mark on his brow was a constant reminder of a past encounter with dark magic.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
139,Gillyweed,"He chewed the strange plant, feeling his lungs begin to change, allowing him to breathe underwater.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
140,Gillyweed,Chewing on the plant allowed him to breathe underwater for an hour.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
141,Gillyweed,"When consumed, it allows a human to breathe underwater like a fish.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
142,Goblet of Fire,"The ancient cup was the final authority, selecting the champions for the deadly tournament.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
143,Goblin-made armor,"The finely crafted metal was known for its strength, imbued with ancient, unbreakable magic.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
144,Goblins,Creatures that run the wizard bank and are known for their metalwork.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
145,Golden Snitch,"The small, winged ball flitted through the air, almost impossible to catch but crucial for victory.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
146,Grim,"The large, spectral dog seen as an omen of death by those who glimpse it.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
147,Gringotts,"The bank was heavily guarded, its underground vaults said to be impossible to break into.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
148,Gringotts,The only bank of the wizarding world is guarded by goblins.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
149,Hagrid,"The Keeper of Keys and Grounds at Hogwarts, with a love for all creatures.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
150,Healing spells,These spells can mend broken bones or cure common wizarding ailments.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
151,Hippogriff,"The proud creature bowed its head, wings outstretched, waiting for a sign of respect in return.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
152,Hogsmeade,"The village was a magical haven, its streets filled with shops offering every conceivable treat and trinket.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
153,Hogwarts Express,"The scarlet steam engine chugged along the tracks, carrying students to the magical school.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
154,Hogwarts Express,The train departs at precisely 11 o'clock from platform nine and three-quarters.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
155,"Hogwarts, A History","The book that Hermione quotes frequently, offering insight into school's countless secrets.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
156,Horcrux,"The dark artifact held a piece of a soul, hidden away to achieve immortality.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
157,Horcrux,"An object used to store part of a soul, it was the secret to immortality.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
158,House-elf,Bound to serve one wizarding family and their household forever unless freed.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
159,House-elves,"The small, humble creatures scurried about, performing their duties with silent efficiency.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
160,Invisibility Cloak,"The fabric shimmered as it draped over him, rendering him unseen to the world.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
161,Lumos,The spell used to create a light at the end of the caster's wand.,4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
162,Mandrake,"The small plant shrieked as it was pulled from the soil, its cry capable of causing unconsciousness.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
163,Marauder's Map,"The parchment showed not just the layout of the castle, but the footsteps of those within it.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
164,Marauder's Map,The parchment revealed the footprints of everyone within the castle.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
165,Marauder's Map password,"The parchment remained blank until the correct phrase was spoken, revealing hidden secrets.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
166,Mirror of Erised,"The reflection showed not just his image, but his deepest, most secret desire.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
167,Mirror of Erised,"The mirror shows the deepest, most desperate desire of one's heart.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
168,Moaning Myrtle,"The ghost who haunts the first-floor girl’s bathroom, often found crying.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
169,Moving photos,"The figures within the frame waved and smiled, their images alive with motion.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
170,Mudblood,A derogatory term used to describe a witch or wizard born to non-magical parents.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
171,Muggle,"A non-magical person, often unaware of the magical world.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
172,Nox,"The counter-charm to Lumos, used to extinguish the light on a wand.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
173,Occlumency,"He closed his mind, trying to block the intrusion, to keep his thoughts his own.",5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
174,Occlumency,The magical defense of the mind against external penetration.,8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
175,Ollivanders,Wizards visit this place to find the wand that chooses them.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
176,Parseltongue,"He spoke to the serpent, understanding its hisses as if they were words of his native language.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
177,Parseltongue,The ability to communicate with serpents is a rare gift.,8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
178,Patronus,"The silvery animal leaped from his wand, a protector against the darkness closing in.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
179,Patronus,"A magical guardian, a projection of all your most positive feelings.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
180,Patronus Charm,"The silvery creature burst forth, a shield against the darkness that threatened to consume him.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
181,Pensieve,"The shallow basin was filled with silvery substances, each swirl a different memory.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
182,Pensieve,A device that allows one to view memories as if they were there.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
183,Petrificus Totalus,The body-bind curse leaves its victim completely immobilized.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
184,Polyjuice Potion,"The brew allowed one to take on the form of another, but only for a limited time.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
185,Polyjuice Potion,The concoction required a piece of the individual one wished to transform into.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
186,Polyjuice Potion,A brew that allows the drinker to assume the form of someone else.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
187,Portkey,The ordinary object transported those who touched it to a pre-determined location in an instant.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
188,Portkey,"An ordinary object that when touched, transports one to a completely different location.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
189,Potion class,Students learn the delicate art of brewing concoctions with magical properties.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
190,Prophecy,"A prediction that, unknown to many, sets the course for the future of the wizarding world.",9,ChatGPT-4o mini,2024/08/01,chatgpt_ui
191,Quick-Quotes Quill,"The enchanted pen scribbled away on its own, often adding a flourish of exaggeration to the truth.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
192,Quidditch,"The game played on broomsticks, where the Golden Snitch determined the winner.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
193,Quidditch,"A popular sport among wizards, played high up in the air on broomsticks.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
194,Ravenclaw's Diadem,"The ancient artifact was said to bestow wisdom on its wearer, hidden away for centuries.",4,ChatGPT-4o mini,2024/08/01,chatgpt_ui
195,Riddle's diary,"The old, tattered book held more than memories; it whispered secrets to those who wrote within.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
196,Room of Requirement,The room appeared only when someone was in desperate need of it.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
197,S.P.E.W.,An organization founded to promote fair treatment of house elves.,7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
198,Shrieking Shack,"The abandoned house stood on the hill, said to be the most haunted place in the village.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
199,Snitch,The small golden ball with wings was the most coveted object in the game.,5,ChatGPT-4o mini,2024/08/01,chatgpt_ui
200,Sorting Hat,"The tattered old hat decided the fate of new students, placing them in the house where they belonged.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
201,Spell duel,A confrontation where wizards and witches use spells against each other.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
202,Squib,"Born into a wizarding family, but possessing no magical powers themselves.",6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
203,The Burrow,"The house was a bit crooked, but it felt like home, full of warmth and the smell of fresh-baked bread.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
204,The Chamber of Secrets,"The hidden room beneath the school held a dark secret, guarded by a monstrous serpent.",8,ChatGPT-4o mini,2024/08/01,chatgpt_ui
205,The Daily Prophet,The newspaper that keeps everyone up to date on the happenings in the wizarding world.,6,ChatGPT-4o mini,2024/08/01,chatgpt_ui
206,The Elder Wand,"The most powerful wand that ever existed, sought by many for its strength.",7,ChatGPT-4o mini,2024/08/01,chatgpt_ui
